"practice_code","practice_name","postcode","latitude","longitude","lad_code","number_of_patients","admin_non_clinical","direct_patient_care","gp","nurses","total_appointments","estimated_wait_time"
"B82057","Springbank Surgery","YO26 8BN","54.004037","-1.299166","E06000065",7505,"20","10","18","4","4912","7.47"
"B82059","Church Avenue Medical Group","HG1 4HG","54.006021","-1.535757","E06000065",11355,"44","10","20","14","7811","5.26"
"B82027","The Spa Surgery","HG1 5AR","53.996354","-1.529793","E06000065",14090,"60","4","28","6","9942","6.07"
"B82016","Strayside Health","HG1 5AR","53.996354","-1.529793","E06000065",15968,"38","4","12","2","9546","4.28"
"B82013","Moss Healthcare Harrogate","HG1 5JP","53.995538","-1.542158","E06000065",20455,"64","4","36","16","11574","5.38"
"B82073","South Milford Surgery","LS25 5AA","53.779296","-1.249176","E06000065",10837,"56","20","12","12","3449","14.14"
"B82031","Sherburn Group Practice","LS25 6ED","53.798594","-1.253519","E06000065",11033,"64","8","22","10","6970","7.88"
"B82049","Thirsk Doctors Surgery","YO7 1LG","54.230936","-1.342786","E06000065",8142,"32","16","20","6","3626","6.53"
"L85012","Wellington Medical Centre","TA21 8BD","50.975585","-3.23321","E06000066",16194,"64","14","32","10","6802","8.65"
"L85032","Bruton Surgery","BA10 0EG","51.112114","-2.451749","E06000066",5184,"30","6","8","8","2534","4.27"
"L85008","Frome Medical Centre","BA11 2FH","51.237318","-2.311568","E06000066",29238,"154","48","57","62","14508","8.02"
"L85020","Beckington Family Practice","BA11 6SE","51.266482","-2.281552","E06000066",11440,"58","38","22","14","4942","10.23"
"L85029","Vine Surgery Partnership","BA16 0ET","51.126187","-2.737853","E06000066",13161,"38","12","21","14","4855","4.84"
"L85017","Penn Hill Surgery, Yeovil","BA20 1SB","50.939476","-2.632732","E06000066",10498,"36","8","20","6","4764","7.31"
"L85022","Diamond Health Group","BA20 1UJ","50.938038","-2.637608","E06000066",13680,"36","26","16","12","5228","8.52"
"L85015","Preston Grove Medical Centre, Yeovil","BA20 2BQ","50.94185","-2.644279","E06000066",15440,"60","20","38","10","4709","12.48"
"L85048","Ryalls Park Medical Centre, Yeovil","BA21 3BA","50.951832","-2.640872","E06000066",6135,"24","10","8","4","2694","9.06"
"L85064","Oaklands Surgery","BA21 5RL","50.954243","-2.617414","E06000066",11091,"34","6","20","14","3397","10.13"
"L85044","Queen Camel Medical Centre","BA22 7LT","51.018174","-2.579685","E06000066",6116,"44","4","16","6","3436","9.19"
"Y01163","West Coker Surgery","BA22 9AH","50.919425","-2.686477","E06000066",3987,"24","8","4","6","1304","6.85"
"L85611","Oakhill Surgery","BA3 5HT","51.223269","-2.523892","E06000066",3158,"30","2","8","6","1149","6.95"
"L85046","Mendip Country Practice","BA3 5NQ","51.241343","-2.450479","E06000066",5972,"26","10","18","6","5829","4.06"
"L85043","Park Medical Practice","BA4 5RT","51.186037","-2.54672","E06000066",11179,"54","10","20","12","4946","8.49"
"L85053","Grove House Surgery","BA4 5UH","51.187325","-2.557739","E06000066",6482,"42","4","14","8","3021","6.26"
"L85034","Wells City Practice","BA5 1XJ","51.203403","-2.655326","E06000066",8477,"38","10","16","6","4157","9.01"
"L85002","Wells Health Centre","BA5 1XJ","51.203403","-2.655326","E06000066",11874,"38","12","20","12","6229","8.03"
"L85047","Glastonbury Health Centre","BA6 9DD","51.148733","-2.712893","E06000066",5992,"22","4","8","10","2567","5.17"
"L85039","Glastonbury Surgery","BA6 9LP","51.148462","-2.721853","E06000066",13991,"46","8","30","18","4694","10.44"
"L85040","Millbrook Surgery, Castle Cary","BA7 7EE","51.087618","-2.51716","E06000066",6993,"24","8","18","6","3379","5.30"
"L85031","Milborne Port Surgery","DT9 5FH","50.967842","-2.470825","E06000066",7511,"38","20","16","2","3988","5.52"
"L85027","Wincanton Health Centre","BA9 9FQ","51.053079","-2.419073","E06000066",8752,"30","12","10","16","4306","7.97"
"L85023","St James Medical Centre","TA1 1JP","51.018121","-3.101806","E06000066",17778,"56","18","24","14","6460","8.93"
"L85001","French Weir Health Centre","TA1 1NW","51.019194","-3.112895","E06000066",17603,"62","16","26","16","8626","6.80"
"L85014","Taunton Vale Healthcare","TA1 2LB","51.014957","-3.080897","E06000066",13468,"72","24","26","10","8522","4.07"
"L85052","Warwick House Medical Practice","TA1 2QA","51.006817","-3.078156","E06000066",7877,"24","6","14","14","4287","7.58"
"L85021","College Way Surgery","TA1 4TY","51.005247","-3.121298","E06000066",14748,"32","8","30","12","7114","5.31"
"L85033","Langport Surgery","TA10 9RH","51.037986","-2.827566","E06000066",13938,"64","38","28","18","7550","9.74"
"L85066","Buttercross Health Centre","TA11 7PB","51.055732","-2.730939","E06000066",7900,"30","12","16","14","3621","6.21"
"L85007","Church Street Surgery, Martock","TA12 6JL","50.969695","-2.767043","E06000066",10378,"83","12","8","8","4900","5.86"
"L85026","Hamdon Medical Centre, Stoke-Sub-Hamdon","TA14 6QE","50.951505","-2.752963","E06000066",6075,"14","6","2","6","2930","7.39"
"L85004","Crewkerne Health Centre, Crewkerne","TA18 8BX","50.880631","-2.798174","E06000066",12431,"46","10","22","6","7035","9.87"
"L85061","The Meadows Surgery","TA19 9FE","50.924891","-2.919477","E06000066",4259,"14","12","4","8","1848","10.23"
"L85054","Summervale Surgery","TA19 9FE","50.924891","-2.919477","E06000066",8494,"34","4","16","2","4953","7.17"
"L85624","Church View Medical Centre","TA19 9RX","50.935622","-2.960328","E06000066",4728,"16","10","8","4","1956","10.20"
"L85006","Crown Medical Centre","TA2 8QY","51.029111","-3.080969","E06000066",10362,"46","12","14","4","4915","7.83"
"L85055","Axbridge Surgery","BS26 2BJ","51.286281","-2.820402","E06000066",9104,"44","12","10","2","5831","8.33"
"L85011","Cheddar Medical Centre","BS27 3NZ","51.274669","-2.775544","E06000066",8373,"24","8","12","6","4628","9.94"
"L85062","Lyngford Park","TA2 8SQ","51.036442","-3.090916","E06000066",6373,"30","2","12","6","2343","11.91"
"L85030","Ariel Healthcare","TA20 2EW","50.869562","-2.967972","E06000066",18956,"80","20","30","20","7438","11.50"
"L85050","Luson","TA21 8AG","50.977398","-3.229566","E06000066",6623,"34","8","12","14","3817","7.15"
"L85003","Exmoor Medical Centre","TA22 9EN","51.038507","-3.544825","E06000066",3884,"12","8","12","4","3131","5.97"
"L85019","Minehead Medical Centre","TA24 5DL","51.204365","-3.476877","E06000066",11636,"46","14","6","14","5368","8.31"
"L85065","Dunster & Porlock Surgeries","TA24 6SN","51.181599","-3.446961","E06000066",7855,"66","6","20","8","4213","10.87"
"L85609","Creech","TA3 5FA","51.028538","-3.045597","E06000066",5249,"18","8","14","6","2673","7.20"
"L85037","North Curry","TA3 6NQ","51.019734","-2.972858","E06000066",4160,"18","12","12","8","2714","7.68"
"L85038","Lister House Partnership","TA4 2BF","51.041218","-3.313676","E06000066",6840,"20","6","18","10","4425","5.20"
"L85036","Quantock Vale Surgery","TA4 3LH","51.057734","-3.187105","E06000066",6055,"30","18","8","8","2743","8.64"
"L85009","West Somerset Healthcare","TA4 4QE","51.161419","-3.318676","E06000066",10679,"36","6","18","12","5990","9.60"
"L85013","Quantock Medical Centre","TA5 1NW","51.149211","-3.154208","E06000066",4184,"26","12","4","8","2096","8.29"
"L85018","Cannington Health Centre","TA5 2HB","51.149764","-3.064649","E06000066",5203,"36","2","10","6","2377","3.56"
"L85042","Taunton Road Medical Centre","TA6 3LS","51.124679","-3.001634","E06000066",15791,"66","6","26","14","5132","11.68"
"L85035","East Quay Medical Centre","TA6 4GP","51.135669","-3.000471","E06000066",17579,"62","10","32","20","8505","9.84"
"L85051","Redgate Medical Centre","TA6 5BF","51.126433","-2.987882","E06000066",7343,"54","2","14","10","2339","11.80"
"L85025","Cranleigh Gardens Medical Centre","TA6 5JS","51.12747","-2.995921","E06000066",14010,"46","8","28","14","6720","7.28"
"L85607","Somerset Bridge Medical Centre","TA6 6LD","51.114764","-2.995833","E06000066",5529,"48","2","18","12","1877","9.89"
"L85056","North Petherton Surgery","TA6 6LX","51.09139","-3.013922","E06000066",7325,"38","0","8","4","2944","6.99"
"L85024","Polden Medical Practice","TA7 9HA","51.150216","-2.87579","E06000066",10868,"62","26","20","18","5352","5.45"
"L85016","Burnham Medical Centre","TA8 1EU","51.23811","-2.992953","E06000066",14813,"56","16","16","14","6281","7.86"
"L85010","Highbridge Medical Centre","TA9 3YA","51.227372","-2.979117","E06000066",13512,"34","16","16","16","6602","10.13"
"L85601","Brent Area Medical Centre","TA9 4JD","51.263383","-2.937219","E06000066",3459,"28","2","8","2","1412","5.77"
"D81013","Trumpington Street Medical Practice","CB2 1RG","52.202444","0.118102","E07000008",21276,"54","10","36","6","6344","8.22"
"D81012","Cornford House Surgery","CB1 8BA","52.186001","0.156644","E07000008",11311,"40","6","28","6","4607","5.16"
"D81017","Mill Road Surgery","CB1 3DG","52.197163","0.150585","E07000008",9245,"18","4","21","4","3413","4.57"
"D81003","York Street Medical Practice","CB1 2PY","52.205501","0.141576","E07000008",11082,"20","5","28","6","3668","2.50"
"D81086","East Barnwell Health Centre","CB5 8SP","52.213952","0.16722","E07000008",7795,"22","4","16","2","3588","5.38"
"Y00056","Cambridge Access Surgery","CB5 8HB","52.20875","0.138701","E07000008",727,"14","2","12","8","1225","4.00"
"D81016","Arbury Road Surgery","CB4 2JG","52.22586","0.12806","E07000008",12941,"24","4","20","8","5257","7.45"
"D81044","Nuffield Road Medical Centre","CB4 1GL","52.225195","0.152832","E07000008",14295,"32","10","24","12","7137","6.97"
"D81054","Red House Surgery","CB4 1ER","52.214906","0.129161","E07000008",21535,"50","4","16","6","5240","5.15"
"D81005","Newnham Walk Surgery","CB3 9HS","52.199281","0.110503","E07000008",15441,"24","2","24","10","3425","6.90"
"D81066","Queen Edith Medical Practice","CB1 8PJ","52.179781","0.150373","E07000008",10765,"32","2","18","4","2784","7.18"
"D81025","Cherry Hinton Medical Centre","CB1 9HR","52.187501","0.177548","E07000008",9502,"24","10","14","6","3230","9.82"
"D81002","Huntingdon Road Surgery","CB3 0DB","52.214035","0.11009","E07000008",23304,"32","10","32","14","9682","7.53"
"D81056","Petersfield Medical Practice","CB1 2AB","52.201541","0.133791","E07000008",7134,"18","4","14","6","2066","7.21"
"D81037","Bridge Street Medical Centre","CB2 3LS","52.207794","0.118896","E07000008",11559,"20","10","18","4","3337","9.92"
"D81001","Lensfield Medical Practice","CB2 1EH","52.198365","0.124449","E07000008",14720,"22","8","26","8","4473","8.04"
"D81070","Woodlands Surgery","CB2 1LR","52.195288","0.128281","E07000008",11063,"22","6","24","4","4322","3.36"
"D81014","Staploe Medical Centre","CB7 5JD","52.33519","0.34195","E07000009",23678,"110","42","38","42","7849","8.27"
"D81051","Burwell Surgery","CB25 0AE","52.273327","0.331841","E07000009",9638,"30","12","16","8","3585","7.77"
"D81055","Bottisham Medical Practice","CB25 9DU","52.224676","0.259929","E07000009",5809,"32","14","22","8","4324","4.25"
"Y00185","Cathedral Medical Centre","CB6 1DN","52.413145","0.275488","E07000009",11499,"18","6","12","4","4465","7.25"
"D81021","St. George'S Medical Centre","CB6 1JU","52.458072","0.299","E07000009",12866,"50","10","26","20","11558","4.96"
"D81036","Priors Field Surgery","CB6 2RB","52.388951","0.124169","E07000009",5101,"18","2","0","0","1996","8.17"
"D81062","Haddenham Surgery","CB6 3TA","52.358118","0.147084","E07000009",8080,"14","12","10","4","3557","9.08"
"D81034","St Mary'S Surgery","CB7 4HF","52.398364","0.258109","E07000009",18571,"72","40","26","28","9804","9.30"
"D81061","George Clare Surgery","PE16 6EX","52.457422","0.051852","E07000010",12050,"40","14","26","16","6539","10.14"
"D81064","Mercheford House","PE15 9BY","52.548412","0.092097","E07000010",6809,"34","4","4","6","3911","10.38"
"D81052","Cornerstone Practice","PE15 9BF","52.548858","0.091322","E07000010",9640,"42","6","8","18","7819","10.07"
"D81603","Riverside Practice","PE15 8BG","52.551522","0.082495","E07000010",7434,"28","10","8","14","4137","8.02"
"D81046","New Queen Street Surgery","PE7 1AT","52.558054","-0.127684","E07000010",19035,"42","24","16","14","11681","6.66"
"D81622","Trinity Surgery","PE13 3UZ","52.6657","0.163907","E07000010",14387,"40","2","12","28","9460","4.02"
"D81015","Parson Drove Surgery","PE13 4LF","52.660947","0.050459","E07000010",7220,"16","0","6","4","5060","4.42"
"D81611","Fenland Group Practice","PE15 0GN","52.482377","0.17936","E07000010",13425,"36","38","20","18","12260","6.49"
"D81008","North Brink Practice","PE13 1JU","52.665181","0.156383","E07000010",19729,"66","84","14","40","15901","4.34"
"D81011","Clarkson Surgery","PE13 3AN","52.669088","0.162062","E07000010",9572,"48","18","8","14","7426","5.35"
"D81030","Grove Medical Practice","PE27 5JD","52.324255","-0.070142","E07000011",15129,"42","20","18","12","9483","8.74"
"D81049","Spinney Surgery","PE27 3TP","52.33533","-0.077762","E07000011",11776,"32","20","26","8","7261","5.75"
"D81606","Riverport Medical Practice","PE27 3ER","52.343316","-0.075654","E07000011",13480,"54","14","18","8","5099","10.66"
"D81059","Ramsey Health Centre","PE26 1BP","52.448482","-0.108107","E07000011",7608,"36","10","18","6","5270","4.86"
"D81031","Yaxley Group Practice","PE7 3JL","52.516866","-0.251101","E07000011",20519,"46","12","26","26","18033","2.68"
"D81045","Buckden Surgery","PE19 5SZ","52.291764","-0.254174","E07000011",10470,"44","16","18","12","4992","9.58"
"D81082","Almond Road Surgery","PE19 1DZ","52.232524","-0.262072","E07000011",7682,"22","4","6","8","3923","10.30"
"D81081","Great Staughton Surgery","PE19 5DA","52.267702","-0.342284","E07000011",5348,"16","10","8","6","2858","8.59"
"D81057","Lakeside Healthcare St Neots","PE19 1BQ","52.229393","-0.265276","E07000011",21017,"74","26","36","18","14396","6.37"
"Y02769","St Neots Health Centre","PE19 1AG","52.228966","-0.267116","E07000011",8251,"20","6","0","2","3183","7.67"
"D81633","Acorn Surgery","PE29 7HN","52.345399","-0.175734","E07000011",11462,"42","6","20","10","8502","5.00"
"D81010","Priory Fields Surgery","PE29 3RL","52.332272","-0.179856","E07000011",11366,"32","8","30","12","4754","9.28"
"D81050","The Hicks Group Practice","PE29 3EZ","52.334236","-0.188273","E07000011",17289,"52","8","32","20","8513","7.11"
"D81027","Wellside Surgery","PE28 5SU","52.440324","-0.28478","E07000011",7971,"22","4","12","6","3575","6.04"
"D81004","Alconbury Surgery","PE28 4EQ","52.371699","-0.256797","E07000011",14310,"42","24","48","12","7087","7.06"
"D81060","Moat House Surgery","PE28 2RQ","52.400913","-0.08438","E07000011",7589,"24","12","10","10","4743","7.72"
"D81038","Kimbolton Medical Centre","PE28 0JF","52.302566","-0.389167","E07000011",7328,"22","14","18","6","4660","11.05"
"D81612","Milton Surgery","CB24 6BL","52.241924","0.162445","E07000012",4996,"30","8","12","2","1697","6.18"
"D81607","Swavesey Surgery","CB24 4RA","52.287744","-0.004007","E07000012",3572,"10","10","4","4","1701","6.75"
"D81084","Willingham Medical Practice","CB24 5LB","52.313096","0.061278","E07000012",12124,"28","8","18","8","4516","11.14"
"D81033","Over Surgery","CB24 5NZ","52.314809","0.012018","E07000012",4968,"15","10","10","6","1615","11.11"
"D81078","Maple Surgery Bar Hill Health Centre","CB23 8EH","52.252937","0.018359","E07000012",4305,"20","0","0","2","1730","7.03"
"D81028","Firs House Surgery","CB24 9NP","52.245342","0.110006","E07000012",12829,"36","6","22","8","5688","7.73"
"D81042","Waterbeach And Cottenham Surgeries","CB25 9LQ","52.270899","0.194751","E07000012",9739,"26","4","6","6","3812","7.63"
"D81018","Orchard Surgery,Melbourn","SG8 6BX","52.080651","0.020092","E07000012",8314,"26","10","18","4","5114","8.70"
"D81043","Granta Medical Practices","CB22 3HU","52.115157","0.169172","E07000012",58838,"234","122","106","76","43111","6.02"
"D81058","Harston Surgery","CB22 7NP","52.138364","0.073806","E07000012",7785,"28","4","10","4","2773","6.92"
"D81041","Bourn Surgery","CB23 2SH","52.193155","-0.063404","E07000012",6848,"14","22","16","4","3070","11.47"
"D81085","Papworth Surgery","CB23 3QQ","52.252071","-0.117492","E07000012",7527,"24","4","18","8","4322","8.75"
"D81637","Monkfield Medical Practice","CB23 6HL","52.218778","-0.065978","E07000012",13862,"44","8","34","14","7166","7.18"
"D81035","Comberton Surgery","CB23 7DY","52.189811","0.018614","E07000012",10012,"36","34","20","6","5763","8.60"
"C81031","Park Surgery","DE75 7DX","53.011206","-1.351707","E07000032",9502,"26","0","22","12","4534","10.06"
"C81049","Kelvingrove Medical Centre","DE75 7HA","53.013187","-1.349087","E07000032",9710,"46","4","18","10","4786","8.79"
"C81004","Ivy Grove Surgery","DE5 3TH","53.042198","-1.402822","E07000032",10359,"46","4","16","8","4186","4.65"
"C81099","Limes Medical Centre","DE55 7DW","53.098493","-1.387885","E07000032",10700,"36","4","18","12","5105","11.13"
"C81038","Whitemoor Medical Centre","DE56 0JB","53.031079","-1.455178","E07000032",12501,"6","10","20","18","6439","13.60"
"C81094","Crich Medical Practice","DE4 5PB","53.084861","-1.483358","E07000032",8115,"42","8","18","4","3185","12.09"
"C81059","Ripley Medical Centre","DE5 3HR","53.04704","-1.405723","E07000032",6117,"12","2","20","2","2889","13.25"
"C81069","Riversdale Surgery","DE56 1AY","53.0241","-1.484996","E07000032",13582,"50","4","28","8","6110","9.16"
"C81053","Parkside Surgery","DE55 7AH","53.098144","-1.391457","E07000032",10854,"44","2","38","8","5994","7.77"
"C81048","Appletree Medical Practice","DE56 4GG","52.985104","-1.486919","E07000032",11071,"54","4","24","14","4239","8.93"
"C81005","Jessop Medical Practice","DE55 1LU","53.074348","-1.372226","E07000032",16889,"68","8","34","14","6741","6.73"
"C81027","Somercotes Medical Centre","DE55 4JJ","53.082351","-1.3726","E07000032",8221,"36","2","26","4","4160","9.59"
"C81017","Arthur Medical Centre","DE7 6AX","53.001503","-1.422636","E07000032",9017,"40","8","22","12","3305","10.65"
"C81052","Royal Primary Care Brooklyn","DE75 7AL","53.017188","-1.342614","E07000032",7177,"28","4","4","4","3129","8.71"
"C84057","Pleasley Surgery","NG19 7PE","53.175809","-1.250873","E07000033",4311,"14","2","4","2","1656","9.70"
"C81001","Springs Health Centre","S43 4PL","53.27774","-1.265531","E07000033",11479,"50","8","22","18","9197","6.87"
"C81662","Barlborough Medical Practice","S43 4TY","53.289528","-1.284471","E07000033",8467,"22","10","14","16","3695","9.98"
"C81655","Family Friendly Surgery","S44 6DE","53.230289","-1.288663","E07000033",3691,"20","2","4","6","2327","8.33"
"Y04977","Creswell And Langwith Medical Centre","S80 4HA","53.262654","-1.215835","E07000033",5581,"20","2","16","8","3626","7.62"
"C81041","Welbeck Road Health Centre","S44 6DF","53.230761","-1.286529","E07000033",11925,"40","18","28","6","10415","7.06"
"C81638","Castle Street Medical Centre","S44 6PP","53.229627","-1.293753","E07000033",3946,"14","4","10","2","3035","6.84"
"C81096","Crag'S Health Care","S80 4DY","53.260141","-1.223723","E07000033",5708,"22","4","6","4","3430","8.79"
"C81033","Shires Healthcare","NG20 8DG","53.202513","-1.215692","E07000033",16149,"48","8","30","16","9812","5.55"
"C81050","The Village Surgery","DE55 2AA","53.104495","-1.343137","E07000033",9557,"24","2","12","6","3919","9.84"
"C81029","Staffa Health","DE55 5PS","53.146215","-1.338825","E07000033",17289,"94","16","30","14","7501","10.75"
"C81015","Newbold Surgery","S41 8DU","53.256108","-1.450706","E07000034",12192,"40","10","28","10","6058","10.32"
"C81044","Whittington Moor Surgery","S41 8NA","53.260996","-1.431065","E07000034",8564,"30","4","24","10","4884","9.25"
"C81045","Royal Primary Care Chesterfield West","S40 4AA","53.23846","-1.438541","E07000034",13117,"50","10","18","14","6085","9.61"
"C81058","The Brimington Surgery","S43 1JG","53.257173","-1.395708","E07000034",8808,"28","6","22","10","5597","10.44"
"C81067","Chatsworth Road Medical Centre","S40 3PY","53.231374","-1.467337","E07000034",9771,"34","6","16","6","4315","11.55"
"Y04995","Royal Primary Care Chesterfield","S40 2HP","53.21967","-1.436077","E07000034",19046,"102","16","46","32","6734","9.78"
"C81012","The Surgery At Wheatbridge","S40 2AB","53.233943","-1.43962","E07000034",15857,"56","2","28","12","9161","10.17"
"C81649","Calow And Brimington Practice","S43 1DD","53.257848","-1.396121","E07000034",7891,"24","8","16","8","3915","10.86"
"C81084","Inspire Health - Avenue House Surgery","S40 1LE","53.238032","-1.433573","E07000034",20535,"70","20","34","18","10308","8.11"
"C81039","Eyam Surgery","S32 5QH","53.284081","-1.673925","E07000035",3614,"28","4","12","2","2171","10.07"
"C81101","Lime Grove Medical Centre","DE4 3FD","53.139049","-1.552922","E07000035",8328,"46","10","18","8","3951","9.65"
"C81028","Imperial Road Surgery","DE4 3NL","53.140474","-1.556557","E07000035",7323,"32","2","22","6","4140","10.17"
"C81062","Hannage Brook Medical Centre","DE4 4JG","53.077623","-1.571366","E07000035",8937,"34","8","16","8","4622","8.04"
"C81016","Peak & Dales Medical Partnership","DE45 1ED","53.211674","-1.676377","E07000035",8645,"36","16","20","8","3990","3.97"
"C81013","Baslow Health Centre","DE45 1SP","53.246144","-1.617823","E07000035",4686,"18","14","6","4","3157","9.25"
"C81086","Henmore Health - Ashbourne Surgery","DE6 1RR","53.013356","-1.737497","E07000035",8139,"46","10","16","12","4015","11.23"
"C81082","Hartington Surgery","SK17 0AQ","53.142488","-1.810816","E07000035",3421,"20","4","4","4","1495","5.64"
"C81037","Ashbourne Medical Practice","DE6 1DR","53.012862","-1.737589","E07000035",10588,"26","18","24","4","4987","7.61"
"C81075","Henmore Health - Brailsford Surgery","DE6 3BX","52.96943","-1.624927","E07000035",5246,"24","8","2","4","1836","11.48"
"C81030","Credas Medical","DE4 2EU","53.160898","-1.587022","E07000035",9009,"38","18","32","14","6369","9.51"
"C81023","The Aitune Medical Practice","NG10 1RY","52.901553","-1.272531","E07000036",7968,"26","4","8","10","3637","12.74"
"C81097","College Street Medical Practice","NG10 4NP","52.904266","-1.28258","E07000036",6043,"20","2","12","10","2279","13.68"
"C81026","Adam House Medical Centre","NG10 5HZ","52.922505","-1.294323","E07000036",6488,"26","4","6","6","3160","5.52"
"C81022","South Street Surgery","DE7 5PZ","52.968251","-1.308041","E07000036",4069,"16","2","6","2","1630","8.20"
"C81061","Littlewick Medical Centre","DE7 5PR","52.966452","-1.304838","E07000036",17896,"79","12","38","18","9592","7.59"
"C81066","Overdale Medical Practice","DE72 3HG","52.912321","-1.378481","E07000036",12044,"48","4","18","16","6853","10.44"
"C81021","Old Station Surgery","DE7 8ES","52.978912","-1.312469","E07000036",15054,"38","12","20","8","7265","8.13"
"C81046","West Hallam Medical Ctr","DE7 6GR","52.966624","-1.359163","E07000036",4690,"18","6","4","4","1989","16.69"
"C81083","West Park Surgery","NG10 1RY","52.901553","-1.272531","E07000036",16768,"46","8","32","14","7439","6.74"
"C81604","Eden Surgery","DE7 5AN","52.962668","-1.30159","E07000036",4736,"8","2","10","4","2704","7.52"
"C81115","Gladstone House Surgery","DE7 5QS","52.968816","-1.307927","E07000036",5049,"26","2","6","4","2643","7.48"
"C81010","The Moir Medical Centre","NG10 1QQ","52.898622","-1.27255","E07000036",13703,"32","6","42","10","5388","4.70"
"C81081","Manor House Surgery","SK13 8PS","53.443952","-1.945172","E07000037",20250,"56","14","26","16","12796","6.54"
"C81615","Cottage Lane Surgery","SK13 6EQ","53.447138","-1.9809","E07000037",2314,"16","2","10","4","1802","4.02"
"C81106","Lambgates Health Centre","SK13 1DJ","53.463477","-1.970153","E07000037",7263,"22","8","14","6","6149","4.21"
"C81034","Stewart Medical Centre","SK17 6JP","53.254016","-1.918031","E07000037",11316,"44","0","26","12","5853","10.06"
"C81074","Elmwood Medical Centre","SK17 9AY","53.255123","-1.920787","E07000037",5513,"18","2","2","2","1814","7.98"
"C81065","Buxton Medical Practice","SK17 9BZ","53.25312","-1.920448","E07000037",9071,"40","4","8","16","4488","4.00"
"C81634","Arden House Medical Practice","SK22 4AQ","53.366422","-2.00238","E07000037",4653,"27","6","8","4","1990","9.08"
"C81003","Sett Valley Medical Centre","SK22 4BP","53.367607","-1.998081","E07000037",10044,"28","8","20","8","4069","10.95"
"C81092","Evelyn Medical Centre","S33 6RJ","53.348845","-1.747926","E07000037",5695,"40","18","18","6","3664","6.68"
"C81063","Thornbrook Surgery","SK23 0RH","53.323217","-1.911355","E07000037",9484,"32","4","22","8","3951","7.58"
"C81080","Goyt Valley Medical Practice","SK23 7SR","53.3305","-1.983113","E07000037",8128,"42","20","10","8","3472","7.43"
"C81640","Simmondley Medical Practice","SK13 6NN","53.43954","-1.969041","E07000037",3745,"8","4","4","2","2570","7.87"
"C81008","Royal Primary Care Clay Cross","S45 9NR","53.167483","-1.414353","E07000038",9735,"35","8","8","12","7266","10.18"
"C81091","Killamarsh Medical Practice","S21 1DX","53.325027","-1.321457","E07000038",8476,"40","12","8","8","3798","12.69"
"C81658","Wingerworth Medical Centre","S42 6PX","53.200934","-1.437055","E07000038",7773,"30","8","22","4","4070","11.41"
"C81055","North Wingfield Medical Centre","S42 5ND","53.184311","-1.387727","E07000038",4845,"18","4","10","2","2308","10.74"
"C81647","St Lawrence Road Surgery","S42 5LH","53.180152","-1.387829","E07000038",4153,"27","9","8","6","2169","8.97"
"C81056","Clay Cross Medical Centre","S45 9NG","53.168084","-1.412206","E07000038",6644,"26","4","4","10","3198","9.99"
"C81089","Stubley Medical Centre","S18 8QY","53.304986","-1.488541","E07000038",6119,"8","4","6","4","3510","10.58"
"C81070","Oakhill Medical Practice","S18 2EJ","53.305662","-1.458311","E07000038",3896,"12","2","8","2","2619","3.97"
"C81095","Emmett Carr Surgery","S21 3TY","53.294997","-1.324797","E07000038",4915,"26","2","8","4","2509","7.83"
"C81025","Dronfield Medical Practice","S18 1PY","53.302357","-1.475084","E07000038",10314,"40","4","26","4","4964","7.32"
"C81002","The Valleys Medical Partnership","S21 4BZ","53.307676","-1.355258","E07000038",12351,"46","12","44","10","8024","9.48"
"C81611","Ashover Medical Centre","S45 0BA","53.166526","-1.471058","E07000038",2490,"14","0","2","2","1127","11.43"
"C81032","Swadlincote Surgery","DE11 0PP","52.7758","-1.562509","E07000039",13864,"46","8","20","16","7218","6.70"
"Y01812","Heartwood Medical Practice","DE11 0AE","52.774889","-1.559331","E07000039",11276,"36","6","10","10","6320","8.05"
"C81108","Melbourne & Chellaston Medical Practice","DE73 8EF","52.821712","-1.429546","E07000039",15514,"46","2","14","10","7024","5.48"
"C81057","Willington Surgery","DE65 6QT","52.850285","-1.566835","E07000039",10550,"34","6","16","8","5168","10.67"
"C81110","Wellbrook Medical Centre","DE65 5GZ","52.868345","-1.630894","E07000039",12018,"40","6","16","6","4817","12.94"
"C81114","Gresleydale Healthcare Centre","DE11 9JT","52.760758","-1.576841","E07000039",13573,"50","12","24","10","7259","14.92"
"C81060","Woodville Surgery","DE11 7JE","52.770685","-1.536503","E07000039",10915,"30","6","12","8","3994","8.10"
"C81020","Newhall Surgery","DE11 0HU","52.785181","-1.573891","E07000039",11043,"40","6","24","4","5536","13.08"
"L83628","Imperial Surgery","EX8 1DQ","50.619764","-3.416301","E07000040",6398,"22","6","10","10","3792","8.09"
"L83056","Rolle Medical Partnership","EX8 2JF","50.621139","-3.401499","E07000040",26665,"64","34","24","18","16646","10.65"
"Y04662","Cranbrook Medical Practice","EX5 7DR","50.746596","-3.416198","E07000040",5935,"12","4","4","10","2355","10.93"
"L83011","Budleigh Salterton Medical Practice","EX9 6LS","50.630099","-3.32766","E07000040",8289,"34","4","18","2","4571","8.66"
"L83116","Woodbury Surgery","EX5 1NZ","50.674","-3.400157","E07000040",5340,"34","18","8","4","4434","3.36"
"L83136","Haldon House Surgery","EX8 1DQ","50.619764","-3.416301","E07000040",5997,"22","6","12","2","3252","4.90"
